borrower_id,period,employee_count,wage_bill_inr,employer_contribution_inr,employee_contribution_inr,due_date,remittance_date,source,ingested_at,record_id,consent_id
MSME-00001,2024-07,58,966449.35,57986.96,57986.96,2024-08-15,2024-08-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,b8fe1ae8-047a-4d73-845d-86d65d4f620c,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2024-08,58,1014970.39,60898.22,60898.22,2024-09-15,2024-09-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,a8f4c33a-20e9-4e04-bc6d-fc130003c8fc,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2024-09,57,1090467.61,65428.06,65428.06,2024-10-15,2024-10-22,epfo_contributions,2026-07-07T17:29:40.342070+00:00,24455b6f-4327-4fd5-a1b4-c7236654979d,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2024-10,57,1077916.21,64674.97,64674.97,2024-11-15,2024-11-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,e2c1915a-2ee1-4e21-93cf-3fb9a93d82f9,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2024-11,57,999537.86,59972.27,59972.27,2024-12-15,2024-12-17,epfo_contributions,2026-07-07T17:29:40.342070+00:00,206cf6ab-1fd2-4b66-a57f-9c4e7ed4765b,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2024-12,56,994313.54,59658.81,59658.81,2025-01-15,2025-01-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,ca8f597b-4074-40ed-bfa0-8482ddbc1bf4,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-01,56,928929.7,55735.78,55735.78,2025-02-15,2025-02-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,cc0ea6b3-858e-414a-97d6-2903c3fc2b3a,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-02,54,997724.5,59863.47,59863.47,2025-03-15,2025-03-22,epfo_contributions,2026-07-07T17:29:40.342070+00:00,247fd92c-e839-43a5-9535-5ebd4b5035f3,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-03,53,898654.49,53919.27,53919.27,2025-04-15,2025-04-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,6f0afb1a-fe86-4a76-aeba-64d2482633d7,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-04,54,1051769.3,63106.16,63106.16,2025-05-15,2025-05-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,f0fd40a2-1c59-4e03-9827-0babb2ee7cb2,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-05,54,938268.69,56296.12,56296.12,2025-06-15,2025-06-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,d0f4b3fa-37a9-473f-bc97-67c4cc3a20df,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-06,52,993275.26,59596.52,59596.52,2025-07-15,2025-07-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,b2b84f59-fe7d-45e0-9b27-05033af09706,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-07,53,981440.39,58886.42,58886.42,2025-08-15,2025-08-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,eadca285-4e88-42fc-abb3-c5291d95ba4b,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-08,52,1024328.91,61459.73,61459.73,2025-09-15,2025-09-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,a141029d-f1e4-4e3c-8d36-4930b338b8ca,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-09,51,860307.31,51618.44,51618.44,2025-10-15,2025-10-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,d68dec44-9682-470f-948f-5a020f487a4c,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-10,50,898337.75,53900.26,53900.26,2025-11-15,2025-11-21,epfo_contributions,2026-07-07T17:29:40.342070+00:00,a8cd0498-07fe-4f05-97f2-041831fba1f1,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
