borrower_id,liquidity_cash_flow,repayment_credit_behavior,revenue_growth_signal,operational_stability,compliance_discipline,concentration_risk
MSME-00001,available,available,available,available,available,not_computable_in_prototype
MSME-00002,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00003,available,available,available,available,available,not_computable_in_prototype
MSME-00004,available,available,available,available,available,not_computable_in_prototype
MSME-00005,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00006,available,available,available,available,available,not_computable_in_prototype
MSME-00007,available,available,available,available,available,not_computable_in_prototype
MSME-00008,available,available,available,available,available,not_computable_in_prototype
MSME-00009,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00010,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00011,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00012,available,available,available,available,available,not_computable_in_prototype
MSME-00013,available,available,available,available,available,not_computable_in_prototype
MSME-00014,available,available,available,available,available,not_computable_in_prototype
MSME-00015,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00016,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00017,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00018,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00019,available,available,available,available,available,not_computable_in_prototype
MSME-00020,available,available,available,available,available,not_computable_in_prototype
MSME-00021,available,available,available,available,available,not_computable_in_prototype
MSME-00022,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00023,available,available,available,available,available,not_computable_in_prototype
MSME-00024,available,available,available,available,available,not_computable_in_prototype
MSME-00025,available,available,available,available,available,not_computable_in_prototype
MSME-00026,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00027,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00028,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00029,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00030,available,available,available,available,available,not_computable_in_prototype
MSME-00031,available,available,available,available,available,not_computable_in_prototype
MSME-00032,available,available,available,available,available,not_computable_in_prototype
MSME-00033,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00034,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00035,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00036,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00037,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00038,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00039,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00040,available,available,available,available,available,not_computable_in_prototype
MSME-00041,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00042,available,available,available,available,available,not_computable_in_prototype
MSME-00043,available,available,available,available,available,not_computable_in_prototype
MSME-00044,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00045,available,available,available,available,available,not_computable_in_prototype
MSME-00046,available,available,available,available,available,not_computable_in_prototype
MSME-00047,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00048,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00049,available,available,available,available,available,not_computable_in_prototype
MSME-00050,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00051,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00052,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00053,available,available,available,available,available,not_computable_in_prototype
MSME-00054,available,available,available,available,available,not_computable_in_prototype
MSME-00055,available,available,available,available,available,not_computable_in_prototype
MSME-00056,available,available,available,available,available,not_computable_in_prototype
MSME-00057,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00058,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00059,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00060,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00061,available,available,available,available,available,not_computable_in_prototype
MSME-00062,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00063,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00064,available,available,available,available,available,not_computable_in_prototype
MSME-00065,available,available,available,available,available,not_computable_in_prototype
MSME-00066,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00067,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00068,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00069,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00070,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00071,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00072,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00073,available,available,available,available,available,not_computable_in_prototype
MSME-00074,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00075,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00076,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00077,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00078,available,available,available,available,available,not_computable_in_prototype
MSME-00079,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00080,available,available,available,available,available,not_computable_in_prototype
MSME-00081,available,available,available,available,available,not_computable_in_prototype
MSME-00082,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00083,available,available,available,available,available,not_computable_in_prototype
MSME-00084,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00085,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00086,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00087,available,available,available,available,available,not_computable_in_prototype
MSME-00088,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00089,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00090,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00091,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00092,available,available,available,available,available,not_computable_in_prototype
MSME-00093,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00094,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00095,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00096,available,available,available,available,available,not_computable_in_prototype
MSME-00097,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00098,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00099,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00100,available,available,available,available,available,not_computable_in_prototype
MSME-00101,available,available,available,available,available,not_computable_in_prototype
MSME-00102,available,available,available,available,available,not_computable_in_prototype
MSME-00103,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00104,available,available,available,available,available,not_computable_in_prototype
MSME-00105,available,available,available,available,available,not_computable_in_prototype
MSME-00106,available,available,available,available,available,not_computable_in_prototype
MSME-00107,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00108,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00109,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00110,available,available,available,available,available,not_computable_in_prototype
MSME-00111,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00112,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00113,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00114,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00115,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00116,available,available,available,available,available,not_computable_in_prototype
MSME-00117,available,available,available,available,available,not_computable_in_prototype
MSME-00118,available,available,available,available,available,not_computable_in_prototype
MSME-00119,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00120,available,available,available,available,available,not_computable_in_prototype
MSME-00121,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00122,available,available,available,available,available,not_computable_in_prototype
MSME-00123,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00124,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00125,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00126,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00127,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00128,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00129,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00130,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00131,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00132,available,available,available,available,available,not_computable_in_prototype
MSME-00133,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00134,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00135,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00136,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00137,available,available,available,available,available,not_computable_in_prototype
MSME-00138,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00139,available,available,available,available,available,not_computable_in_prototype
MSME-00140,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00141,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00142,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00143,available,available,available,available,available,not_computable_in_prototype
MSME-00144,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00145,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00146,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00147,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00148,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00149,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00150,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00151,available,available,available,available,available,not_computable_in_prototype
MSME-00152,available,available,available,available,available,not_computable_in_prototype
MSME-00153,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00154,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00155,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00156,available,available,available,available,available,not_computable_in_prototype
MSME-00157,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00158,available,available,available,available,available,not_computable_in_prototype
MSME-00159,available,available,available,available,available,not_computable_in_prototype
MSME-00160,available,available,available,available,available,not_computable_in_prototype
MSME-00161,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00162,available,available,available,available,available,not_computable_in_prototype
MSME-00163,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00164,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00165,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00166,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00167,available,available,available,available,available,not_computable_in_prototype
MSME-00168,available,available,available,available,available,not_computable_in_prototype
MSME-00169,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00170,available,available,available,available,available,not_computable_in_prototype
MSME-00171,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00172,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00173,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00174,available,available,available,available,available,not_computable_in_prototype
MSME-00175,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00176,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00177,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00178,available,available,available,available,available,not_computable_in_prototype
MSME-00179,available,available,available,available,available,not_computable_in_prototype
MSME-00180,available,available,available,available,available,not_computable_in_prototype
MSME-00181,available,available,available,available,available,not_computable_in_prototype
MSME-00182,available,available,available,available,available,not_computable_in_prototype
MSME-00183,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00184,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00185,available,available,available,available,available,not_computable_in_prototype
MSME-00186,available,available,available,available,available,not_computable_in_prototype
MSME-00187,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00188,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00189,available,available,available,available,available,not_computable_in_prototype
