borrower_id,tier,quality_tier,epfo_reliability_flag
MSME-00001,C,Full,reliable
MSME-00002,A,Full,not_applicable
MSME-00003,C,Partial,reliable
MSME-00004,C,Full,reliable
MSME-00005,A,Full,not_applicable
MSME-00006,C,Full,reliable
MSME-00007,C,Full,reliable
MSME-00008,C,Full,reliable
MSME-00009,A,Full,not_applicable
MSME-00010,A,Full,not_applicable
MSME-00011,A,Full,not_applicable
MSME-00012,C,Full,reliable
MSME-00013,C,Full,reliable
MSME-00014,C,Full,reliable
MSME-00015,A,Thin,not_applicable
MSME-00016,A,Full,not_applicable
MSME-00017,A,Partial,not_applicable
MSME-00018,A,Full,not_applicable
MSME-00019,C,Full,reliable
MSME-00020,C,Full,reliable
MSME-00021,C,Full,reliable
MSME-00022,A,Full,not_applicable
MSME-00023,C,Full,reliable
MSME-00024,C,Full,reliable
MSME-00025,C,Partial,reliable
MSME-00026,A,Full,not_applicable
MSME-00027,A,Full,not_applicable
MSME-00028,A,Full,not_applicable
MSME-00029,A,Partial,not_applicable
MSME-00030,C,Full,reliable
MSME-00031,C,Full,reliable
MSME-00032,C,Full,reliable
MSME-00033,A,Full,not_applicable
MSME-00034,A,Full,not_applicable
MSME-00035,A,Full,not_applicable
MSME-00036,A,Partial,not_applicable
MSME-00037,A,Full,not_applicable
MSME-00038,A,Partial,not_applicable
MSME-00039,A,Full,not_applicable
MSME-00040,C,Full,reliable
MSME-00041,A,Full,not_applicable
MSME-00042,C,Full,reliable
MSME-00043,C,Full,reliable
MSME-00044,A,Thin,not_applicable
MSME-00045,C,Full,reliable
MSME-00046,C,Full,reliable
MSME-00047,A,Full,not_applicable
MSME-00048,A,Full,not_applicable
MSME-00049,C,Full,reliable
MSME-00050,A,Thin,not_applicable
MSME-00051,A,Full,not_applicable
MSME-00052,A,Full,not_applicable
MSME-00053,C,Partial,reliable
MSME-00054,C,Full,reliable
MSME-00055,C,Full,reliable
MSME-00056,C,Full,reliable
MSME-00057,A,Thin,not_applicable
MSME-00058,A,Partial,not_applicable
MSME-00059,A,Full,not_applicable
MSME-00060,A,Full,not_applicable
MSME-00061,C,Full,reliable
MSME-00062,A,Full,not_applicable
MSME-00063,A,Full,not_applicable
MSME-00064,C,Full,reliable
MSME-00065,C,Full,reliable
MSME-00066,A,Partial,not_applicable
MSME-00067,A,Full,not_applicable
MSME-00068,A,Full,not_applicable
MSME-00069,A,Full,not_applicable
MSME-00070,A,Thin,not_applicable
MSME-00071,A,Thin,not_applicable
MSME-00072,A,Full,not_applicable
MSME-00073,C,Partial,reliable
MSME-00074,A,Full,not_applicable
MSME-00075,A,Full,not_applicable
MSME-00076,A,Partial,not_applicable
MSME-00077,A,Thin,not_applicable
MSME-00078,C,Full,reliable
MSME-00079,A,Full,not_applicable
MSME-00080,C,Full,reliable
