borrower_id,capacity__current_ratio_status,capacity__leverage_ratio_status,capacity__dscr_status,capacity__interest_coverage_ratio_status,capacity__cash_flow_match_ratio_status,capacity__revenue_cagr_3yr_status,capacity__projected_revenue_growth_rate_status,capacity__customer_concentration_pct_status,capacity__supplier_concentration_pct_status,character__bureau_score_status,character__civil_suit_years_since_active_status,character__other_legal_dispute_years_since_active_status,character__owner_time_in_business_years_status,character__cheque_bounce_rate_status,capital__net_worth_to_assets_ratio_status,compliance__covenant_compliance_flag_status,compliance__gst_ontime_filing_ratio_status,compliance__epfo_ontime_remittance_ratio_status,compliance__utility_payment_timeliness_status,compliance__rent_payment_timeliness_status,compliance__salary_payment_timeliness_status,collateral__collateral_quality_score_status
MSME-00001,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable
MSME-00002,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,available
MSME-00003,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00004,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00005,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00006,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00007,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable
MSME-00008,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00009,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00010,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00011,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,available
MSME-00012,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00013,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00014,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00015,available,available,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,not_applicable,available,available,available,insufficient_data,available,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,available
MSME-00016,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00017,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00018,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00019,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00020,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00021,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00022,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,not_applicable
MSME-00023,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00024,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00025,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00026,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00027,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00028,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00029,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00030,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00031,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00032,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00033,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,available
MSME-00034,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00035,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
MSME-00036,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00037,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00038,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00039,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00040,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00041,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00042,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00043,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00044,available,available,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,available,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00045,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable
MSME-00046,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable
MSME-00047,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
MSME-00048,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00049,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00050,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,not_applicable,available,available,available,insufficient_data,not_applicable,available,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,available
MSME-00051,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00052,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available
MSME-00053,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable
MSME-00054,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00055,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable
MSME-00056,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00057,not_applicable,not_applicable,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,not_applicable,available,available,available,insufficient_data,not_applicable,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00058,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00059,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00060,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00061,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00062,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
MSME-00063,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00064,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available,not_applicable
MSME-00065,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00066,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00067,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00068,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00069,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
MSME-00070,not_applicable,not_applicable,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,not_applicable,available,available,available,insufficient_data,not_applicable,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00071,available,available,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,available,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00072,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00073,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00074,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00075,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,not_applicable
MSME-00076,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00077,not_applicable,not_applicable,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,not_applicable,not_applicable,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00078,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00079,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,not_applicable
MSME-00080,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available,available
MSME-00081,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00082,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00083,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00084,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00085,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00086,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00087,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00088,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00089,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00090,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00091,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00092,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable
MSME-00093,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00094,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00095,not_applicable,not_applicable,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,not_applicable,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,available
MSME-00096,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00097,not_applicable,not_applicable,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,not_applicable,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00098,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,not_applicable,available,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00099,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00100,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00101,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00102,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00103,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00104,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable
MSME-00105,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable
MSME-00106,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available,not_applicable
MSME-00107,available,available,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,not_applicable,available,available,available,insufficient_data,available,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00108,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00109,not_applicable,not_applicable,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,not_applicable,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,available
MSME-00110,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00111,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,not_applicable
MSME-00112,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00113,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00114,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00115,available,available,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,available,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00116,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable
MSME-00117,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00118,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available,available
MSME-00119,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
MSME-00120,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00121,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00122,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00123,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00124,not_applicable,not_applicable,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,not_applicable,available,available,available,insufficient_data,not_applicable,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,available
MSME-00125,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00126,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00127,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00128,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00129,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,not_applicable,available,available,available,available
MSME-00130,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00131,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00132,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00133,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00134,not_applicable,not_applicable,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,not_applicable,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,available
MSME-00135,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00136,available,available,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,available,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00137,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable
MSME-00138,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00139,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
