borrower_id,tier,sector,has_epfo,is_gst_registered,balance_sheet_available,has_bureau_record,has_existing_loan,has_collateral,current_ratio,leverage_ratio,dscr,interest_coverage_ratio,cash_flow_match_ratio,revenue_cagr_3yr,projected_revenue_growth_rate,customer_concentration_pct,supplier_concentration_pct,turnover_bank_ratio,gst_bank_consistency_flag,bureau_score,credit_limit_utilization_pct,bureau_report_date,owner_time_in_business_years,civil_suit_years_since_active,other_legal_dispute_years_since_active,cheque_bounce_rate,cheque_bounce_count_annualized,net_worth_to_assets_ratio,collateral_type,construction_status,estimated_value_inr,compliance_window_months,utility_payment_timeliness,rent_payment_timeliness,salary_payment_timeliness,gst_ontime_filing_ratio,gst_missed_filing_rate,gst_avg_filing_delay_days,gst_compliance_window_periods,epfo_ontime_remittance_ratio,epfo_compliance_window_periods,covenant_compliance_flag,capacity__current_ratio_status,capacity__leverage_ratio_status,capacity__dscr_status,capacity__interest_coverage_ratio_status,capacity__cash_flow_match_ratio_status,capacity__revenue_cagr_3yr_status,capacity__projected_revenue_growth_rate_status,capacity__customer_concentration_pct_status,capacity__supplier_concentration_pct_status,character__bureau_score_status,character__civil_suit_years_since_active_status,character__other_legal_dispute_years_since_active_status,character__owner_time_in_business_years_status,character__cheque_bounce_rate_status,capital__net_worth_to_assets_ratio_status,compliance__covenant_compliance_flag_status,compliance__gst_ontime_filing_ratio_status,compliance__epfo_ontime_remittance_ratio_status,compliance__utility_payment_timeliness_status,compliance__rent_payment_timeliness_status,compliance__salary_payment_timeliness_status,collateral__collateral_quality_score_status
MSME-00001,C,retail,True,True,True,True,True,False,1.427,3.036,6.103,10.0,100.0,-0.16,0.0134,31.17,35.69,1.6013203119023467,consistent,675.0,80.1,2026-05-09,7.2,100.0,100.0,0.0145,22.0,0.3297,,,,6,1.0,0.833,0.833,0.5,0.167,1.4,6.0,0.5,6.0,1.0,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable
MSME-00002,A,trading,False,True,True,True,True,True,2.683,0.328,10.0,10.0,100.0,0.05,0.1205,31.71,37.87,1.258973957589554,consistent,768.0,42.7,2026-05-11,15.1,100.0,100.0,0.0061,21.94,0.4709,residential,bare_plot,129245746.96,6,1.0,1.0,1.0,0.833,0.0,-0.17,6.0,,,,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,available
MSME-00003,C,services,True,True,True,True,False,True,0.657,6.966,,,61.48,-0.12,-0.0901,34.27,42.63,0.6147599865902751,consistent,523.0,93.2,2026-05-11,13.1,100.0,100.0,0.0417,53.0,0.1322,residential,constructed,31674660.24,6,0.5,0.667,0.333,0.167,0.0,17.0,6.0,0.833,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00004,C,retail,True,True,True,True,True,True,2.092,1.57,2.135,10.0,41.08,0.14,0.0125,36.92,51.61,0.4108036246301448,bank_inflow_much_lower_than_declared,664.0,17.5,2026-06-26,7.1,100.0,100.0,0.0125,10.37,0.3255,commercial,constructed,28475914.52,6,0.833,0.667,0.833,0.833,0.0,0.5,6.0,1.0,6.0,1.0,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00005,A,trading,False,True,False,True,False,True,,,,,100.0,0.23,0.1383,40.48,54.42,1.2841185812845786,consistent,699.0,28.5,2026-06-20,3.0,100.0,100.0,0.0043,15.91,,residential,constructed,79152765.13,6,1.0,0.833,1.0,0.833,0.0,0.17,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00006,C,trading,True,True,True,True,False,False,2.387,0.486,,,100.0,0.02,0.1333,38.15,47.94,1.8650998552005011,consistent,733.0,17.0,2026-05-16,12.5,100.0,100.0,0.004,15.0,0.4549,,,,6,1.0,1.0,1.0,1.0,0.0,-1.83,6.0,1.0,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00007,C,retail,True,True,False,True,True,False,,,3.472,8.431,100.0,-0.15,0.0111,36.11,34.74,1.4512807185149246,consistent,697.0,65.1,2026-06-14,19.9,100.0,100.0,0.0124,31.0,,,,,6,0.667,0.5,0.667,0.5,0.0,2.83,6.0,0.833,6.0,,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable
MSME-00008,C,services,True,True,True,True,True,True,2.655,0.807,6.443,10.0,100.0,0.26,0.1353,35.89,34.85,1.1176777255013548,consistent,721.0,35.2,2026-05-31,14.7,100.0,100.0,0.0019,6.98,0.5007,residential,constructed,69373092.63,6,0.833,1.0,1.0,1.0,0.0,-1.17,6.0,0.667,6.0,1.0,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00009,A,retail,False,True,False,False,False,False,,,,,100.0,-0.22,0.01,35.3,39.87,1.7912887646775015,consistent,,,,1.3,100.0,100.0,0.0184,45.0,,,,,6,0.5,0.667,0.833,0.667,0.0,1.67,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00010,A,trading,False,True,False,True,True,False,,,1.35,10.0,100.0,-0.45,-0.0882,46.94,31.7,5.020135636870108,bank_inflow_much_higher_than_declared,500.0,84.0,2026-06-01,2.1,100.0,100.0,0.046,53.0,,,,,6,0.333,0.667,0.5,0.167,0.333,18.0,6.0,,,,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
