borrower_id,capacity_top_positive,capacity_top_negative,capacity_driver_note,character_top_positive,character_top_negative,character_driver_note,capital_top_positive,capital_top_negative,capital_driver_note,compliance_top_positive,compliance_top_negative,compliance_driver_note,collateral_top_positive,collateral_top_negative,collateral_driver_note
MSME-00001,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00002,Debt service coverage ratio,Supplier concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00003,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00004,Debt service coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00005,Revenue CAGR (3yr),Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00006,Current ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00007,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,EPFO on-time remittance ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00008,Debt service coverage ratio,Customer concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,EPFO on-time remittance ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00009,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00010,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00011,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00012,Current ratio,Customer concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00013,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,GST on-time filing ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00014,Current ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00015,Cash flow vs. declared turnover match,Supplier concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00016,Customer concentration,Revenue CAGR (3yr),,Civil suit status,Cheque bounce rate,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00017,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00018,Current ratio,Revenue CAGR (3yr),,Civil suit status,Other legal dispute status,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00019,Leverage (debt / net worth),Projected revenue growth,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00020,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Bank covenant compliance,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00021,Leverage (debt / net worth),Supplier concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00022,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Cheque bounce rate,Other legal dispute status,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00023,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Utility payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00024,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00025,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00026,Projected revenue growth,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00027,Supplier concentration,Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00028,Projected revenue growth,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00029,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Other legal dispute status,Bureau score,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00030,Leverage (debt / net worth),Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,EPFO on-time remittance ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00031,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,EPFO on-time remittance ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00032,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00033,Current ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00034,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00035,Debt service coverage ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00036,Supplier concentration,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00037,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00038,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00039,Current ratio,Supplier concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00040,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00041,Revenue CAGR (3yr),Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00042,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00043,Current ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Bank covenant compliance,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00044,Leverage (debt / net worth),Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00045,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Salary payment timeliness,,,,no data available for this dimension
MSME-00046,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Other legal dispute status,Civil suit status,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00047,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Salary payment timeliness,,,,no data available for this dimension
MSME-00048,Current ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00049,Current ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00050,Interest coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Bank covenant compliance,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00051,Projected revenue growth,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00052,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00053,Revenue CAGR (3yr),Cash flow vs. declared turnover match,,Other legal dispute status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Rent payment timeliness,,,,no data available for this dimension
MSME-00054,Interest coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Bureau score,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00055,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00056,Current ratio,Customer concentration,,Civil suit status,Bureau score,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,EPFO on-time remittance ratio,,,,no data available for this dimension
MSME-00057,Customer concentration,Projected revenue growth,,Other legal dispute status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,,,no data available for this dimension
